date, name, wins, losses, win_pct
2026-04-21, Cleveland Guardians, 13, 11, 0.542
2026-04-21, Houston Astros, 9, 15, 0.375
2026-04-21, Tampa Bay Rays, 12, 10, 0.545
2026-04-21, Cincinnati Reds, 15, 8, 0.652
2026-04-21, Detroit Tigers, 12, 11, 0.522
2026-04-21, Milwaukee Brewers, 12, 9, 0.571
2026-04-21, Miami Marlins, 11, 12, 0.478
2026-04-21, St. Louis Cardinals, 13, 9, 0.591
2026-04-21, Washington Nationals, 10, 13, 0.435
2026-04-21, Atlanta Braves, 16, 7, 0.696
2026-04-21, Boston Red Sox, 9, 13, 0.409
2026-04-21, New York Yankees, 13, 9, 0.591
2026-04-21, New York Mets, 7, 15, 0.318
2026-04-21, Minnesota Twins, 11, 11, 0.5
2026-04-21, Kansas City Royals, 7, 15, 0.318
2026-04-21, Baltimore Orioles, 10, 12, 0.455
2026-04-21, Chicago Cubs, 12, 9, 0.571
2026-04-21, Philadelphia Phillies, 8, 13, 0.381
2026-04-21, Texas Rangers, 11, 11, 0.5
2026-04-21, Pittsburgh Pirates, 13, 9, 0.591
2026-04-21, Colorado Rockies, 9, 13, 0.409
2026-04-21, San Diego Padres, 15, 7, 0.682
2026-04-21, Los Angeles Angels, 11, 12, 0.478
2026-04-21, Toronto Blue Jays, 8, 13, 0.381
2026-04-21, Seattle Mariners, 10, 13, 0.435
2026-04-21, Athletics, 11, 11, 0.5
2026-04-21, Arizona Diamondbacks, 13, 9, 0.591
2026-04-21, Chicago White Sox, 8, 14, 0.364
2026-04-21, San Francisco Giants, 9, 13, 0.409
2026-04-21, Los Angeles Dodgers, 15, 6, 0.714
2026-04-21, Cleveland Guardians, 13, 11, 0.542
2026-04-21, Houston Astros, 9, 15, 0.375
2026-04-21, Tampa Bay Rays, 12, 10, 0.545
2026-04-21, Cincinnati Reds, 15, 8, 0.652
2026-04-21, Detroit Tigers, 12, 11, 0.522
2026-04-21, Milwaukee Brewers, 12, 9, 0.571
2026-04-21, Miami Marlins, 11, 12, 0.478
2026-04-21, St. Louis Cardinals, 13, 9, 0.591
2026-04-21, Washington Nationals, 10, 13, 0.435
2026-04-21, Atlanta Braves, 16, 7, 0.696
2026-04-21, Boston Red Sox, 9, 13, 0.409
2026-04-21, New York Yankees, 13, 9, 0.591
2026-04-21, New York Mets, 7, 15, 0.318
2026-04-21, Minnesota Twins, 11, 11, 0.5
2026-04-21, Kansas City Royals, 7, 15, 0.318
2026-04-21, Baltimore Orioles, 10, 12, 0.455
2026-04-21, Chicago Cubs, 13, 9, 0.591
2026-04-21, Philadelphia Phillies, 8, 14, 0.364
2026-04-21, Texas Rangers, 11, 11, 0.5
2026-04-21, Pittsburgh Pirates, 13, 9, 0.591
2026-04-21, Colorado Rockies, 9, 13, 0.409
2026-04-21, San Diego Padres, 15, 7, 0.682
2026-04-21, Los Angeles Angels, 11, 12, 0.478
2026-04-21, Toronto Blue Jays, 8, 13, 0.381
2026-04-21, Seattle Mariners, 10, 13, 0.435
2026-04-21, Athletics, 11, 11, 0.5
2026-04-21, Arizona Diamondbacks, 13, 9, 0.591
2026-04-21, Chicago White Sox, 8, 14, 0.364
2026-04-21, San Francisco Giants, 9, 13, 0.409
2026-04-21, Los Angeles Dodgers, 15, 6, 0.714
2026-04-21, Cleveland Guardians, 13, 11, 0.542
2026-04-21, Houston Astros, 9, 15, 0.375
2026-04-21, Tampa Bay Rays, 12, 10, 0.545
2026-04-21, Cincinnati Reds, 15, 8, 0.652
2026-04-21, Detroit Tigers, 12, 11, 0.522
2026-04-21, Milwaukee Brewers, 12, 9, 0.571
